BaseID,Name,DefaultParams,Description,mana_cost,SkillType,Delivery,targetpermit,effect_list
158,幽冥守卫,55:105:255,[txt]幽冥守卫的光环力量覆盖全境，令施法者不敢轻举妄动\n全图范围内敌人每回合流失\v点魔法，并在每次使用技能时\n受到消耗法力值\v倍的魔法伤害。光环效果不叠加,,,,,
159,能源之岚,a:4,[txt]能源核心的力量波及附近区域，增强友方战力\n令以自身为中心\v*\v范围内所有友军得到\v%的攻防提升（可叠加）\n每距离自身远出一格距离，效果便会直接减少\v%,,,,,
160,无敌斩,255:205:100,[txt][传奇奥义]以无敌的姿态爆发出暴雨般的斩击\n瞬间连续斩出\v剑，无视闪避且必定触发剑舞和暴击效果\n每次命中都会破坏目标\v点护甲。对幽魂形态造成\v%的伤害,,,,,
161,魂之挽歌Lv1|20,a:1,[txt]Lv1:[传奇奥义]爆发体内的灵魂力量，绽放出魂之挽歌。\n消耗\v点魔法及50%上限的灵魂，本回合在内共蓄力\v回合\n，成功后释放魂之挽歌，对所有敌人造成\v点魔法伤害\n（数值是加成后伤害），每点消耗的灵魂都会额外增加0.1%\n伤害，受到魂之挽歌影响的每个目标都会在\v回合内暂时减\n少\v%攻速与\v%的攻击力\n除伤害以外的效果无视魔法免疫，奥义无法被多重施法,,,,,
162,能量冲击Lv3|24,255:0:255,[txt]Lv3:从法杖的尖端发射出致命的能量重创敌人\n对单个敌人造成\v{800000}点魔法伤害，消耗100点魔法\n本技能不占用当前回合技能释放时机,,,,,
163,灵魂燃烧,a:7,[txt]消耗80点魔法，使当前目标受到五回合的沉默效果，\n每回合结束时会对其造成回合内目标损失生命20%的\n魔法伤害。无法被多重施法。,,,,,
164,以太冲击Lv3,255:0:255,[txt]Lv3:使目标与自身同时进入虚无形态四回合，消耗100点魔法\n期间目标受到的魔法伤害暂时增加40%，并造成\v{500000}点魔法\n伤害，本技能不占用当前回合技能释放时机,,,,,
165,缴械,a:7,[txt]消耗100点魔法，使当前目标受到五回合的缴械效果，\n期间无法进行任何普攻，且受到的物理伤害加深50%。\n只有缴械效果无视魔免，无法被多重施法,,,,,
166,毁灭阴影Lv3|5,128:128:64,[txt]Lv3:对最多3个敌人造成\v点魔法伤害并降低\v点护甲\n消耗\v点魔法与\v点灵魂，多次使用规则同LV1\n会连续释放\v次，但多次使用只消耗一次灵魂（包括多重施法）,,,,,
167,灵魂支配Lv3,128:128:64,[txt]Lv3:收集弱小者的灵魂，构筑自己强大的躯体\n每击杀一个敌人都能获得一点能量，最大\v点，每点能量增加\n\v攻击与\v点生命上限，每100点增加\v%造成的魔法伤害,,,,,
168,魔王降临Lv2,128:128:64,[txt]Lv2:无数灵魂在魔王的震慑之下臣服，将怨恨发泄在其他生灵身上\n与奈文摩尔战斗的敌人都将因恐惧而降低自身\v点护甲\n并且使得奈文摩尔能在攻击时吸取目标\v%的生命,,,,,
169,魔王降临Lv3,128:128:64,[txt]Lv3:与奈文摩尔战斗的敌人都将因恐惧而降低自身\v点护甲\n并且使得奈文摩尔能在攻击时吸取目标\v%的生命，且提升自身\n\v%法术能量以及根据灵魂数每点提升毁灭阴影\v点基础伤害,,,,,
170,灵魂撕裂,a:7,[txt]消耗150点魔法，使当前目标受到五回合的沉默效果，\n每回合结束时会对其造成回合内目标损失生命30%的魔法伤害\n，且期间内攻击该目标必定暴击。无法被多重施法。,,,,,
171,自杀攻击,255:80:80:200,[txt]通过自我毁灭释放出能量对敌人造成重创\n固定\v回合后自爆，对所有敌人造成巨额伤害\n总计造成\v点物理伤害和\v点魔法伤害,,,,,
172,战场轰炸,a:12,[txt]先经过一回合的准备，接着集中火力轰炸整片战场，持续\v回合\n每回合造成\v点物理伤害并在战斗结束前降低敌人\v点护甲\n若轰炸结束时自身剩余生命小于\v%，则获得\v%概率反击吸取\n\v%生命的[勇气之霎]技能。\n轰炸不会被打断，期间自身无法行动。轰炸不会影响到幽魂形态。,,,,,
173,火焰气息Lv3|10,128:128:64,[txt]瞬发技能，消耗60点魔法，一场战斗最多使用三次\n对所有敌人造成\v{400000}+自身攻击50%的伤害，并使其攻击\n降低10%，持续二回合。会覆盖已有的相同效果。,,,,,
174,追踪导弹,55:175:255,[txt]发射一枚特殊的追踪导弹攻击敌人，造成\v点伤害\n追踪导弹会根据敌人战前生命和魔法比例决定效果\n生命比例大于魔法比例时追踪导弹造成魔法伤害及\v回合眩晕\n魔法比例大于生命比例时造成物理伤害并损毁\v点法力,,,,,
175,重型机炮,a:11,每次普攻时附加\v点混合伤害\n特殊伤害类型，计算护甲，计算魔抗\n对眩晕中的目标造成\v倍伤害,,,,,
176,激光,a:4,[txt]发射出一道可怕的光束将目标贯穿\n光束造成\v点纯粹伤害并临时降低目标\v%的护甲\n每次有敌人进入可见直线范围内时都能立即发动一次，\n这种情况下的激光只能造成\v%的伤害，不影响护甲,,,,,
177,真视领域,a:4,[txt]真视之力所覆及之处，隐匿者从无遁形\n自身为中心\v*\v范围区域为真视领域，隐身状态下的敌人\n会被领域内友方单位自动攻击，战斗时隐身效果无效强制\n失去先手，且受到的物理及魔法伤害增加\v%,,,,,
178,镜壁领域,255:50:200,[txt]以崇高之力毁灭所有来犯之敌，对☆闪☆光☆防☆御\n以自身为中心\v*\v范围所有友军获得\v%效果的[攻击反噬]技能\n，对于已有[攻击反噬]的友军则会使其技能效果提升至\v%,,,,,
179,分则能成,255:50:200,[txt]保存生命的火种，被击败时将自身分裂为多个崭新的生命体\n自身分裂为如右侧形式\v \n\n\n\n\n分裂出来的个体无法取代目标位置上原有事物,,,,,
180,灵魂爆发,255:50:200,[txt]瞬间爆发灵魂之力，消耗100点魔法与5点灵魂\n对所有敌人造成护甲*灵魂数*25的魔法伤害及2回合的眩晕。\n多重施法不会多次消耗灵魂,,,,,
181,法力黑洞,255:0:205,[txt][传奇奥义]引爆魔力奇点，对施法者造成毁灭性打击\n造成\v回合眩晕，并根据敌人已损失魔法的百分比，\n每有1%便对目标造成其\v%生命上限的纯粹伤害\n本技能会在上次使用技能\v回合后释放,,,,,
182,牺牲,155:0:0,[txt][传奇奥义]以己之身破敌之魂，牺牲者圣域\n牺牲自身当前血量的\v%，对目标造成牺牲血量\v%的魔法伤害\n若牺牲前自身血量低于上限的\v%，则造成纯粹伤害,,,,,
183,活血术,0:255:80,[txt]在绝境中激发目标的生命潜力，使其快速治愈\n本回合不攻击，使当前被攻击友军（可以是自身）持续获得\n\v回合的治愈状态，每回合恢复该回合当前已损失血量的\v%,,,,,
184,焚灭之域,255:50:80,[txt]神圣火焰燃烧之域，万物寂灭\n以自身为中心\v*\v范围所有友军获得最大抵挡\v点魔法伤害的\n[火焰壁垒]技能，该火焰壁垒每回合能造成\v点魔法伤害,,,,,
185,隐身神符,a:7,[txt]使自身进入潜行状态，潜行状态不会受到阻激夹击等效果，\n触发任意战斗或开启任意门时减少次数，神符效果最多持续7次\n可以触发如影刃等带有隐身状态下特殊被动的装备效果,,,,,
186,极寒风暴,0:85:255,[txt][传奇奥义]凝聚极寒之力形成足以毁灭大地万物的暴风雪\n进行\v回合持续施法，并在期间获得魔法免疫效果\n期间敌人攻速降低\v%并且每回合受到\v点魔法伤害\n若被打断则会引发魔力爆炸，双方均受到\v点魔法伤害,,,,,
187,无法侦测,a:7,现在还无法侦测到这个生命体的能力\n或许还需要更加强大的意志才能看破……,,,,,
188,追猎,250:50:100,当目标处于其可见直线上时，自身都会在目标每次进行\n移动时向目标移动一格，若接触则发生战斗,,,,,
189,至死方休,250:50:100,[txt]目标每次移动时自身都会竭尽所能地向目标所在的位置移动\n可穿过门与不可通过地形以外的格子，接触时自动发生战斗\n每次移动都会使战斗中造成的所有物理/魔法伤害增加\v%,,,,,
190,黑龙吐息,100:0:40,[txt][传奇奥义]破灭的喷射黑光，将事物彻底湮灭\n向目标释放出一团具有破灭性质的吐息，造成\v点魔法与\n同等的物理伤害，目标之后\v回合内持续受到破灭效果影响，\n每回合流失当前\v%的生命与魔法，并在本场战斗中降低\v%防御力。,,,,,
191,刚毅不屈,0:0:255,刚毅的身躯能够承受更多的打击\n自身增加相当于\v%敌方防御力数值的防御力\n该被动会受到破坏效果,,,,,
192,猛毒缠身,192:0:192,[txt]制造出毒瘴缠绕敌人，造成\v毒素伤害并使其获得\v层\n猛毒烙印，每层烙印使其受到的物理伤害增加10%，线性叠加\n玩家每次与非毒素烙印怪战斗后都会自动减少一层烙印\n物理伤害加深效果会直接体现在护甲减伤上,,,,,
193,魔霭诅咒,255:0:192,[txt]缓敌之咒，捷我之语，对骁勇善战者的无情处罚\n第一次命中时使目标的攻击速度/护甲变为最多\v%/\v点，\n并吸收多出部分的攻击速度与护甲加持于己方全体\n无法影响已经处于魔霭诅咒效果的敌人,,,,,
194,强体光环,a:3,赋予他人强健的肉体与顽强的生命力\n增加以自身为中心\v*\v范围内所有友军\v%的生命（可叠加）,,,,,
195,虚弱之诏,255:0:255,[txt]用诅咒剥夺敌人的力量，造成\v点魔法伤害，并使其获\n得\v层虚弱烙印，每层烙印使目标攻防减少3%，非线性叠加\n玩家每次与非虚弱烙印怪战斗后都会自动减少一层烙印\n攻防减少效果会直接体现在玩家状态上,,,,,
196,震荡领域,255:255:128,[txt]巨力震波扫荡之处，地动山摇\n自身为中心\v*\v范围区域为震荡领域，玩家与处于该区域的怪\n物战斗前将会直接受到\v回合眩晕与\v点魔法伤害(可叠加),,,,,
197,阳炎冲击,a:12,[txt][传奇奥义]哈雷克之火葬魔咒\n自身为中心\v*\v范围区域内友军（包括自身）发生战斗时召唤毁\n灭性的天火，\v回合后落地。天火造成\v点神圣伤害，且与友军横\n纵坐标距离每相差一格，落地所需回合数增加\v回合,,,,,
198,壮烈成仁,255:0:155,[txt]为了紧握住属于我们的荣耀——壮烈……成仁\n当前地图内所有战斗时的生命回复都会乘\v%后变为等额流失,,,,,
199,剑刃风暴,a:4,[txt][传奇奥义]剑刃成风，席卷天地，剑域内诸生命数皆陨\n使自身进入剑刃风暴状态，失去普攻能力，效果持续\v回合\n剑刃风暴中自身魔法免疫，每回合对敌人造成\v点物理\n伤害，必定触发致命一击与剑舞效果。剑刃风暴不会影响自\n身蓄力，且可以在持续过程中使用[无敌斩]类技能,,,,,
200,业火的杀戮,a:1,[txt]特殊技能，按TAB键开启/关闭，开启后自身生命回复、魔法\n回复失效，战斗开始时临时提升5%攻击力，减少5%防御力，\n吸取当前目标5%生命。吸取属于纯粹伤害，无视魔抗,,,,,
201,磐石聚心,a:1,[txt]瞬发技能，消耗150点魔法，将自身的10%攻击转化为防御，\n并获得能够抵挡3%生命上限伤害的护盾，效果持续到本场战\n斗结束。无法被多重施法,,,,,
202,巨浪,0:120:205,[txt]召唤带有腐蚀力量的巨浪，使目标受到\v点魔法伤害，\n并在\v回合内临时减少\v点护甲，且无法闪避,,,,,
203,海妖外壳,192:128:128,[txt]在体表形成一层坚不可摧的护甲，抵挡伤害及部分魔法效果\n减少\v点受到的物理伤害，并使自身免疫眩晕效果,,,,,
204,幽冥射击,192:0:192,[txt]射出带有幽冥之力的箭矢将生命侵蚀\n当目标处于其可见直线上时每一步都能发动一次射击，每次射\n击造成攻击力\v%的物理伤害，并使目标获得\v层猛毒烙印,,,,,
205,诅咒之矢,255:0:255,[txt]射出带有诅咒之力的箭矢令敌人虚弱不堪\n当目标处于其可见直线上时每一步都能发动一次射击，每次射\n击造成攻击力\v%的魔法伤害，并使目标获得\v层虚弱烙印,,,,,
206,恩赐解脱,a:9,[txt][传奇奥义]毫无痛苦的死亡是对你最大的恩赐\n攻击时\v%概率造成\v倍暴击，暴击伤害无视闪避与护甲，战斗\n开始后前\v回合必定暴击，且暂时获得\v%吸血效果\n必定暴击时会对幽魂形态下的敌人造成魔法伤害，无视破坏,,,,,
207,幻末之墙,255:0:255,[txt][传奇奥义]扭曲的封锁击溃敌人的意志\n以自身为中心\v*\v范围内所有友军获得系数为\v%的[夹击]\n若友军已经拥有[夹击]，则在此基础上增加系数,,,,,
208,月神之箭,a:4,[txt]战斗开始前便发射一支月神之箭，获取先手并造成\v回合眩晕\n与\v点魔法伤害。若获取先手失败则作为普通主动技能\n使用，且只造成\v回合眩晕与\v%的伤害,,,,,
209,群星风暴,a:4,[txt][传奇奥义]月光笼罩，群星坠落\n降下流星，造成目标\v%的生命值上限+\v点魔法伤害，\n之后经过\v回合蓄力，释放第二次流星，伤害为第一次的\v%,,,,,
210,回溯共鸣,a:1,[txt][仙道秘仪]道法天地，不死不灭，天人合一\n引动天地太初之力，地图内每有一个其他怪物便会提升自身\n\v%攻击与\v%防御，并在全图怪物（包括自己）第一次死\n亡时将其生命回溯，恢复其\v%初始生命的血量，解除所有增\n益或是减益状态，回溯不会刷新技能冷却,,,,,
211,命运之笔,a:1,[txt][传奇奥义]命运轨迹成，墨痕遂往生\n之后连续\v次挥动命运之笔，每次挥动1回合施法，命运\n之笔造成\v点魔法伤害，使目标战后获得\v层墨魂烙印，且令\n下一次受到命运之笔效果时伤害递增\v%。每层烙印降低目标\n3%三围属性，非线性叠加，战斗后自动减少一层烙印,,,,,
212,[认知干扰],a:1,[txt]身上具有自[认知干扰]遗存的力量，与现世所不相容\n自身对于非[认知干扰]造成的伤害增加\v%，但也会额外受到\n[认知干扰]造成的\v%伤害,,,,,
213,傲慢之心,255:75:185,[txt]傲慢者不屑于与任何人为伍。\n当以自身为中心\v*\v范围内没有其他怪物存在时提升自身\v%\n的攻击力与\v%的初始生命。傲慢者从来都是都是独自战斗。,,,,,
214,否决之力,a:7,[txt][传奇奥义]远古流传下来的否决力量，闭锁一切魔力来源。\n将目标否决，造成\v点魔力损毁并使其获得\v层闭锁烙印，\n烙印使得目标无法使用任何装备主动效果/技能，并使第一\n格的装备彻底失效，每5层烙印额外闭锁一格\n每次与非闭锁烙印怪战斗后都会减少一层烙印,,,,,
215,憎恶,205:0:255,[txt][传奇奥义]源自虚空深处的诡异重力形成绝对的束缚\n使用奇特重力束缚敌人，以释放回合计数为1，当回合计数为\n1或质数时眩晕目标，并造成\v加目标当前生命值\v%的纯\n粹伤害，最多持续\v回合。眩晕效果无视魔法免疫,,,,,
216,暮色凋零,255:50:200,[txt]引发一片区域空间混乱，造成大量伤害\n连续\v回合制造一个混乱领域，令所有敌人每回合受到其最大\n生命值\v%的魔法伤害，被打断时引发空间爆炸，对敌我双方\n同时造成\v点魔法伤害,,,,,
217,怒意狂击,250:168:114,[txt]流传自远古的秘技，怒意增幅下的粉碎性攻击，痛楚在加剧\n每次普攻附加一层狂击效果，并根据目标当前拥有的效果层数\n每有一层额外造成\v点物理伤害。额外伤害不计入吸血,,,,,
218,超强力量,166:66:184,[txt][传奇奥义]天赐之力，如有神助\n获得超强力量，立即驱散所有不良状态，并在之后\v回合内攻\n击速度提升\v倍，攻击力提升\v%。技能使用无视沉默效果,,,,,
219,不朽之域,a:7,"[txt][仙道秘仪]纯阳无极，打破虚空，见神不坏\n形成一道不朽之域庇护一方，以自身为中心\v*\v范围除自身外\n所有友军获得[魔法免疫] ",,,,,
220,九阳踏天,a:12,[txt][仙道秘仪]九阳踏天，混沌无极，以己之力，得窥造物\n以宙光之力构筑九枚璀璨恒星，引动星核产生超新星爆发，\n造成\v+敌人已损失生命\v%的纯粹伤害与\v回合眩晕，\n本技能会在上次使用技能\v回合后释放,,,,,
221,抗性皮肤,a:7,[txt]抗性皮肤对负面效果有着极其强大抵抗力\n每回合行动前自动清除身上的沉默、缴械、眩晕、破坏等负面\n效果，并在受到物理攻击时反弹\v%的伤害（伤害类型为纯粹）,,,,,
222,命源逆转,a:4,[txt][超凡法则]以法则之力扰动乾坤，逆转命源\n令目标的生命值与魔法值按其占最大值的百分比进行互换，\n且互换后生命与魔法的比例均不会超过\v%\n本技能会在上次使用技能\v回合后释放,,,,,
223,抗性穿透,a:3,[txt][特殊]对一切抗性拥有绝对的贯通能力\n无视护甲、魔抗、负面状态抵抗等一切抗性效果,,,,,
224,风暴之锤,a:4,用充满战意的力量对敌人造成致命打击\n本回合不攻击，造成\v点魔法伤害，并眩晕对方\v回合,,,,,
225,神之力量,a:12,[txt][传奇奥义]这下NB了\n一声战吼赋予自身神之力量的效果，持续\v回合，期间暂时\n提升自身\v%攻击力与\v%生命上限，并根据增加的生命上限\n按提升之前的生命百分比回复相应的生命值,,,,,
226,,,,,,,,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,,,,,,,,
231,,,,,,,,
232,,,,,,,,
233,,,,,,,,
234,,,,,,,,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
240,,,,,,,,
241,,,,,,,,
242,,,,,,,,
243,,,,,,,,
244,,,,,,,,
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,,
264,,,,,,,,
265,,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,,,,,,,,
271,,,,,,,,
272,,,,,,,,
273,,,,,,,,
274,,,,,,,,
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,,,,,,,,
284,,,,,,,,
285,,,,,,,,
286,,,,,,,,
287,,,,,,,,
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,,,,,,,,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,,,,,,,,
